season,drugname,drugcost,alternatedrug,alternatedrugcost,no_of_customer_using_drug,no_of_customer_using_alternate_drug,Year,Month,YearMonth
Summer,Atorvastatin,383,Rosuvastatin,364,784,643,2017,3,2017-03
Monsoon,Amoxicillin,337,Azithromycin,351,891,706,2020,11,2020-11
Autumn,Atorvastatin,422,Rosuvastatin,389,466,541,2010,8,2010-08
Summer,Metformin,460,Glimepiride,472,820,251,2018,4,2018-04
Winter,Losartan,455,Telmisartan,479,826,568,2012,7,2012-07
Monsoon,Paracetamol,146,Ibuprofen,102,874,560,2024,9,2024-09
Summer,Salbutamol,193,Terbutaline,219,410,598,2011,10,2011-10
Autumn,Losartan,384,Telmisartan,432,603,475,2020,3,2020-03
Autumn,Levothyroxine,104,Liothyronine,78,391,515,2013,2,2013-02
Monsoon,Amoxicillin,163,Azithromycin,123,385,544,2013,11,2013-11
Monsoon,Salbutamol,263,Terbutaline,215,420,615,2023,6,2023-06
Winter,Atorvastatin,419,Rosuvastatin,397,235,157,2016,1,2016-01
Spring,Losartan,163,Telmisartan,185,162,620,2014,5,2014-05
Spring,Metformin,426,Glimepiride,447,311,284,2015,7,2015-07
Spring,Amoxicillin,325,Azithromycin,336,162,689,2011,4,2011-04
Spring,Omeprazole,159,Pantoprazole,137,386,506,2010,10,2010-10
Summer,Metformin,126,Glimepiride,106,158,664,2010,4,2010-04
Monsoon,Paracetamol,153,Ibuprofen,166,129,314,2023,5,2023-05
Winter,Omeprazole,143,Pantoprazole,184,680,679,2010,5,2010-05
Autumn,Metformin,171,Glimepiride,160,254,165,2018,4,2018-04
Monsoon,Metformin,203,Glimepiride,192,745,755,2010,12,2010-12
Monsoon,Atorvastatin,443,Rosuvastatin,490,888,381,2012,2,2012-02
Winter,Metformin,132,Glimepiride,127,174,555,2010,2,2010-02
Spring,Paracetamol,175,Ibuprofen,151,575,547,2011,1,2011-01
Winter,Losartan,278,Telmisartan,244,235,575,2023,7,2023-07
Autumn,Paracetamol,326,Ibuprofen,309,106,550,2012,12,2012-12
Spring,Amoxicillin,161,Azithromycin,180,951,242,2023,4,2023-04
Spring,Levothyroxine,79,Liothyronine,29,918,726,2021,12,2021-12
Winter,Amoxicillin,235,Azithromycin,211,345,109,2018,5,2018-05
Monsoon,Paracetamol,365,Ibuprofen,370,831,485,2011,4,2011-04
Summer,Insulin,223,Glipizide,206,965,128,2018,3,2018-03
Winter,Metformin,465,Glimepiride,429,565,613,2016,7,2016-07
Summer,Omeprazole,260,Pantoprazole,293,535,458,2014,9,2014-09
Autumn,Atorvastatin,186,Rosuvastatin,149,497,213,2011,1,2011-01
Monsoon,Amoxicillin,274,Azithromycin,235,763,430,2015,1,2015-01
